candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,bf16,none,storage_compute,2048.0,37.77193069458008,57.55589294433594,0.9987045599489796,0.9590840242346939,7,pass
hidden_dequant__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,f16,none,storage_compute,2048.0,1.280701756477356,7.121397495269775,0.9999601403061225,0.9950175382653061,7,pass
gemm1_operands__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,bf16,none,storage_compute,2304.0,13.280701637268066,84.74786376953125,0.9977877869897959,0.9418048469387755,7,pass
gemm1_operands__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,f16,none,storage_compute,2048.0,6.8947367668151855,10.840715408325195,0.9998405612244898,0.9925063775510204,7,pass
gemm1_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator,bf16,none,storage_compute,8192.0,430.15789794921875,346.6487121582031,0.991828762755102,0.8322704081632653,7,pass
gemm1_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator,f16,none,storage_compute,2048.0,26.228069305419922,44.40148162841797,0.9990234375,0.9685108418367347,7,pass
gemm1_output__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,bf16,none,storage_compute,2048.0,8.468879699707031,58.84522247314453,0.9986447704081632,0.9581871811224489,7,pass
gemm1_output__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,f16,none,storage_compute,2048.0,2.175438642501831,7.604357719421387,0.9998804209183674,0.9949378188775511,7,pass
swiglu_input__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_input,bf16,none,storage_compute,2048.0,8.468879699707031,58.84522247314453,0.9986447704081632,0.9581871811224489,7,pass
swiglu_input__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_input,f16,none,storage_compute,2048.0,2.175438642501831,7.604357719421387,0.9998804209183674,0.9949378188775511,7,pass
swiglu_output__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,bf16,none,storage_compute,2048.0,52.33333206176758,42.91792678833008,0.9991430165816326,0.9689492984693877,7,pass
swiglu_output__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,f16,none,storage_compute,2048.0,2.614035129547119,5.283502101898193,0.9999402104591837,0.9961535395408163,7,pass
gemm2_operands__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_operands,bf16,none,storage_compute,2048.0,89.3859634399414,61.083038330078125,0.9985849808673469,0.9570910395408163,7,pass
gemm2_operands__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_operands,f16,none,storage_compute,2048.0,1.1617063283920288,7.276556968688965,0.9998604910714286,0.9946986607142857,7,pass
gemm2_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator,bf16,none,storage_compute,4096.0,16.824562072753906,118.94877624511719,0.9977080676020408,0.9305046237244898,7,pass
gemm2_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator,f16,none,storage_compute,nan,nan,nan,0.9145208864795918,0.9145208864795918,7,pass
out_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,out_accumulator,bf16,none,storage_compute,3072.0,13.350876808166504,41.25398635864258,0.9995416135204082,0.9817044005102041,7,pass
out_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,out_accumulator,f16,none,storage_compute,inf,inf,inf,0.7962970344387755,0.7953603316326531,7,catastrophic_outlier
baseline__fp32,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,bf16,none,storage_compute,2048.0,9.763818740844727,126.84886169433594,0.9953962053571429,0.8473772321428572,3,pass
